Key,Epic Link,Summary,Status,Updated
DEOPSCSW-122,Logging Service,Allow local component logs to be output to STDOUT,Done,7/19/17 14:33
DEOPSCSW-123,Logging Service,Allow local component logs to be output to a file,Done,7/19/17 14:34
DEOPSCSW-124,Logging Service,Define severity levels for log messages,Done,7/6/17 16:21
DEOPSCSW-125,Logging Service,Define severity levels for specific components/log instances,Done,7/6/17 16:21
DEOPSCSW-126,Logging Service,Configurability of logging characteristics for component / log instance,Done,7/21/17 11:58
DEOPSCSW-127,Logging Service,Runtime update for logging characteristics,Done,9/19/17 22:17
DEOPSCSW-130,Configuration Service,Command line App for HTTP server,Done,5/8/17 14:22
DEOPSCSW-131,Configuration Service,Detect and handle oversize files,Done,5/22/17 13:19
DEOPSCSW-132,Configuration Service,List oversize and normal sized files,Done,5/10/17 1:54
DEOPSCSW-133,Configuration Service,Provide meta config for normal and oversize repo,Done,5/10/17 1:59
DEOPSCSW-135,Configuration Service,Validation of suffix for active and sha files,Done,5/8/17 14:28
DEOPSCSW-139,Configuration Service,Provide new routes to get/set the current active version of the file,Done,5/16/17 12:28
DEOPSCSW-140,Configuration Service,Provide new routes to get active file as of date,Done,5/16/17 12:19
DEOPSCSW-142,Logging Service,Flexibility of logging approaches,Done,7/21/17 11:58
DEOPSCSW-148,Configuration Service,Performance of config service,Done,6/21/17 8:05
DEOPSCSW-151,Logging Service,Manage log file size,Done,7/21/17 9:00
DEOPSCSW-153,Logging Service,Accessibility of logging service to other CSW components,Done,11/14/17 7:51
DEOPSCSW-154,Logging Service,Examples of Logging Service usage in Java and Scala,Done,8/1/17 8:08
DEOPSCSW-155,Logging Service,Logging service programming documentation,Done,8/1/17 8:08
DEOPSCSW-158,Logging Service,Logging service API implementation details to be hidden from component developer,Done,7/6/17 13:06
DEOPSCSW-159,Logging Service,Support logging for existing CSW implementation,Done,7/19/17 20:16
DEOPSCSW-160,Framework Service,Config(HTTP) Service can receive and handle runtime update for logging characteristics,Done,11/23/17 21:46
DEOPSCSW-163,Framework Service,Provide admin facilities in the framework through Supervisor role,Done,9/18/17 14:40
DEOPSCSW-165,Framework Service,CSW Assembly Creation,Done,9/18/17 11:34
DEOPSCSW-166,Framework Service,CSW HCD Creation,Done,9/18/17 11:35
DEOPSCSW-167,Framework Service,Creation and Deployment of Standalone Components,Done,10/10/17 16:12
DEOPSCSW-168,Framework Service,Actors can receive and handle runtime update for logging characteristics,Done,11/26/17 20:16
DEOPSCSW-169,Framework Service,Creation of Multiple Components,Done,9/18/17 17:11
DEOPSCSW-170,Framework Service,Starting component using a file format,Done,9/12/17 7:38
DEOPSCSW-171,Framework Service,Starting component from command line,Done,10/31/17 7:44
DEOPSCSW-172,Framework Service,Starting a container from configuration file,Done,9/26/17 8:57
DEOPSCSW-173,Framework Service,Host Configuration in file format,Done,11/20/17 4:54
DEOPSCSW-174,Framework Service,Starting Multiple Containers with an init Script,Done,3/1/18 7:25
DEOPSCSW-175,Framework Service,Starting multiple containers from command Line,Done,11/21/17 7:30
DEOPSCSW-176,Framework Service,Provide Infrastructure to manage TMT lifecycle,Done,9/18/17 12:55
DEOPSCSW-177,Framework Service,Hooks for lifecycle management,Done,9/18/17 9:53
DEOPSCSW-178,Framework Service,Lifecycle success/failure notification,Done,10/10/17 8:16
DEOPSCSW-179,Framework Service,Unique Action for a component,Done,10/3/17 8:47
DEOPSCSW-180,Framework Service,Generic and Specific Log messages,Done,10/10/17 8:40
DEOPSCSW-181,Framework Service,Multiple Examples for Lifecycle Support,Done,3/20/18 9:10
DEOPSCSW-182,Framework Service,Control Life Cycle of Components,Done,9/18/17 17:58
DEOPSCSW-183,Framework Service,Configure attributes and values,Done,8/30/17 4:13
DEOPSCSW-184,Framework Service,Change configurations - attributes and values,Done,9/15/17 15:47
DEOPSCSW-185,Framework Service,Easy to Use Syntax/Api,Done,8/29/17 9:06
DEOPSCSW-186,Framework Service,Binary value payload,Done,8/29/17 8:26
DEOPSCSW-187,Framework Service,Efficient serialization to/from binary,Done,8/30/17 10:24
DEOPSCSW-188,Framework Service,Efficient Serialization to/from JSON,Done,9/12/17 7:41
DEOPSCSW-189,Framework Service,SPIKE: Investigate best Unit solutions,Done,7/28/17 4:31
DEOPSCSW-190,Framework Service,Implement Unit Support,Done,8/8/17 8:11
DEOPSCSW-192,Framework Service,CSW programming document,Done,11/14/17 9:11
DEOPSCSW-194,Connections and Command Service,Support long running actions asynchronously,Done,12/19/17 7:40
DEOPSCSW-196,Connections and Command Service,Command Payloads for variable command content,Done,12/13/17 3:28
DEOPSCSW-198,Connections and Command Service,Enable Assembly to accept a Setup or an Observe configuration,Done,11/21/17 8:45
DEOPSCSW-199,Connections and Command Service,Enable HCD to accept a Setup configuration,Done,11/21/17 8:45
DEOPSCSW-200,Connections and Command Service,Send Submit Configuration command,Done,10/20/17 10:27
DEOPSCSW-201,Connections and Command Service,Destination component to receive a submit command,Done,11/28/17 8:18
DEOPSCSW-202,Connections and Command Service,Verification of submit commands,Done,1/30/18 7:27
DEOPSCSW-203,Connections and Command Service,Write component-specific verification code,Done,11/21/17 8:28
DEOPSCSW-204,Connections and Command Service,Sender to know that Submit configuration command's validation was successful,Done,10/19/17 17:20
DEOPSCSW-205,Connections and Command Service,Create unique id(runId) on command creation,Done,12/6/17 1:05
DEOPSCSW-206,Connections and Command Service,Sender to know that Submit configuration command's validation failed,Done,10/20/17 10:30
DEOPSCSW-207,Connections and Command Service,Report on Configuration Command Completion,Done,12/19/17 15:09
DEOPSCSW-208,Connections and Command Service,Report failure on Configuration Completion command,Done,1/30/18 7:29
DEOPSCSW-211,Connections and Command Service,Notification of Interrupted Message,Done,1/30/18 8:04
DEOPSCSW-212,Connections and Command Service,Send oneway command,Done,10/20/17 10:26
DEOPSCSW-213,Connections and Command Service,Sender to know that oneway configuration command's validation was successful,Done,10/19/17 17:19
DEOPSCSW-214,Connections and Command Service,Sender to know that oneway configuration command's validation failed,Done,10/20/17 10:31
DEOPSCSW-215,Connections and Command Service,Update location service documentation,Done,11/28/17 7:38
DEOPSCSW-216,Connections and Command Service,Locate and connect components to send AKKA commands,Done,11/28/17 8:13
DEOPSCSW-217,Connections and Command Service,Execute RPC like commands,Done,12/19/17 8:01
DEOPSCSW-218,Connections and Command Service,Discover component connection information using Akka protocol,Done,11/28/17 8:12
DEOPSCSW-219,Connections and Command Service,Discover component connection using HTTP protocol,Done,11/28/17 8:10
DEOPSCSW-220,Connections and Command Service,Access and Monitor components for current values,Done,11/28/17 8:42
DEOPSCSW-221,Connections and Command Service,Avoid sending commands to non-executing components,Done,12/14/17 10:44
DEOPSCSW-222,Connections and Command Service,Locking a component for a specific duration,Done,12/12/17 8:11
DEOPSCSW-223,Connections and Command Service,Expiry of component Locking mode,Done,12/15/17 0:26
DEOPSCSW-224,Connections and Command Service,Inter component command sending,Done,1/23/18 7:46
DEOPSCSW-225,Connections and Command Service,Allow components to receive commands,Done,1/23/18 7:45
DEOPSCSW-227,Connections and Command Service,Distribute commands to multiple destinations,Done,3/6/18 8:11
DEOPSCSW-228,Connections and Command Service,Assist Components with command completion,Done,12/19/17 8:15
DEOPSCSW-229,Connections and Command Service,Provide matchers infrastructure for comparison,Done,12/19/17 15:08
DEOPSCSW-231,Connections and Command Service,Measure Performance of Command Service,Done,1/30/18 8:26
DEOPSCSW-233,Connections and Command Service,Hide implementation by having a CCS API,Done,3/6/18 8:25
DEOPSCSW-234,Connections and Command Service,CCS accessibility to all CSW component builders,Done,2/6/18 8:17
DEOPSCSW-235,Connections and Command Service,Example of CCS in Java and Scala,Done,4/12/18 7:43
